2023-11-14 18:48:43.220104;2023-11-14 18:48:43.263536;2023-11-14 18:48:43.300698;2023-11-14 18:48:43.300698;2023-11-14 18:48:43.341767;2023-11-14 18:48:43.376041
2023-11-14 18:48:43.377024;2023-11-14 18:48:43.412590;2023-11-14 18:48:43.447532;2023-11-14 18:48:43.447532;2023-11-14 18:48:43.488362;2023-11-14 18:48:43.521414
2023-11-14 18:48:43.521414;2023-11-14 18:48:43.562623;2023-11-14 18:48:43.596619;2023-11-14 18:48:43.596619;2023-11-14 18:48:43.635879;2023-11-14 18:48:43.812628
2023-11-14 18:48:43.814627;2023-11-14 18:48:43.857022;2023-11-14 18:48:43.892372;2023-11-14 18:48:43.892372;2023-11-14 18:48:43.939732;2023-11-14 18:48:43.976038
2023-11-14 18:48:43.976987;2023-11-14 18:48:44.019402;2023-11-14 18:48:44.059244;2023-11-14 18:48:44.059244;2023-11-14 18:48:44.103617;2023-11-14 18:48:44.263298
2023-11-14 18:48:44.264328;2023-11-14 18:48:44.306351;2023-11-14 18:48:44.347987;2023-11-14 18:48:44.347987;2023-11-14 18:48:44.394576;2023-11-14 18:48:44.432961
2023-11-14 18:48:44.434961;2023-11-14 18:48:44.472942;2023-11-14 18:48:44.512042;2023-11-14 18:48:44.512042;2023-11-14 18:48:44.555198;2023-11-14 18:48:44.722079
2023-11-14 18:48:44.725094;2023-11-14 18:48:44.766102;2023-11-14 18:48:44.806819;2023-11-14 18:48:44.806819;2023-11-14 18:48:44.858159;2023-11-14 18:48:44.896287
2023-11-14 18:48:44.897240;2023-11-14 18:48:44.936518;2023-11-14 18:48:44.973089;2023-11-14 18:48:44.973089;2023-11-14 18:48:45.019122;2023-11-14 18:48:45.056972
2023-11-14 18:48:45.057955;2023-11-14 18:48:45.096943;2023-11-14 18:48:45.133525;2023-11-14 18:48:45.133525;2023-11-14 18:48:45.174707;2023-11-14 18:48:45.211766
2023-11-14 18:48:45.212817;2023-11-14 18:48:45.243351;2023-11-14 18:48:45.276773;2023-11-14 18:48:45.276773;2023-11-14 18:48:45.315006;2023-11-14 18:48:45.353153
2023-11-14 18:48:45.353153;2023-11-14 18:48:45.393412;2023-11-14 18:48:45.431320;2023-11-14 18:48:45.431320;2023-11-14 18:48:45.475027;2023-11-14 18:48:45.510537
2023-11-14 18:48:45.512554;2023-11-14 18:48:45.547666;2023-11-14 18:48:45.587223;2023-11-14 18:48:45.587223;2023-11-14 18:48:45.631053;2023-11-14 18:48:45.665343
2023-11-14 18:48:45.665343;2023-11-14 18:48:45.703204;2023-11-14 18:48:45.743067;2023-11-14 18:48:45.743067;2023-11-14 18:48:45.787340;2023-11-14 18:48:45.824279
2023-11-14 18:48:45.825331;2023-11-14 18:48:45.864319;2023-11-14 18:48:45.899408;2023-11-14 18:48:45.899408;2023-11-14 18:48:45.944743;2023-11-14 18:48:45.980741
2023-11-14 18:48:45.982746;2023-11-14 18:48:46.022571;2023-11-14 18:48:46.061975;2023-11-14 18:48:46.061975;2023-11-14 18:48:46.106832;2023-11-14 18:48:46.145340
2023-11-14 18:48:46.146336;2023-11-14 18:48:46.184655;2023-11-14 18:48:46.226768;2023-11-14 18:48:46.226768;2023-11-14 18:48:46.273710;2023-11-14 18:48:46.310748
2023-11-14 18:48:46.311710;2023-11-14 18:48:46.353426;2023-11-14 18:48:46.393546;2023-11-14 18:48:46.393546;2023-11-14 18:48:46.434889;2023-11-14 18:48:46.468828
2023-11-14 18:48:46.469806;2023-11-14 18:48:46.503715;2023-11-14 18:48:46.538239;2023-11-14 18:48:46.538239;2023-11-14 18:48:46.585708;2023-11-14 18:48:46.620651
2023-11-14 18:48:46.621594;2023-11-14 18:48:46.653899;2023-11-14 18:48:46.685382;2023-11-14 18:48:46.685382;2023-11-14 18:48:46.726003;2023-11-14 18:48:46.760882
2023-11-14 18:48:46.761882;2023-11-14 18:48:46.795919;2023-11-14 18:48:46.829852;2023-11-14 18:48:46.829852;2023-11-14 18:48:46.870791;2023-11-14 18:48:47.026265
2023-11-14 18:48:47.028263;2023-11-14 18:48:47.075140;2023-11-14 18:48:47.113308;2023-11-14 18:48:47.113308;2023-11-14 18:48:47.160551;2023-11-14 18:48:47.322923
2023-11-14 18:48:47.324923;2023-11-14 18:48:47.370567;2023-11-14 18:48:47.411260;2023-11-14 18:48:47.411260;2023-11-14 18:48:47.456771;2023-11-14 18:48:47.616701
2023-11-14 18:48:47.617701;2023-11-14 18:48:47.661933;2023-11-14 18:48:47.698636;2023-11-14 18:48:47.698636;2023-11-14 18:48:47.742796;2023-11-14 18:48:47.896423
2023-11-14 18:48:47.898421;2023-11-14 18:48:47.940887;2023-11-14 18:48:47.978060;2023-11-14 18:48:47.978060;2023-11-14 18:48:48.022552;2023-11-14 18:48:48.059193
2023-11-14 18:48:48.060130;2023-11-14 18:48:48.098782;2023-11-14 18:48:48.138908;2023-11-14 18:48:48.138908;2023-11-14 18:48:48.183634;2023-11-14 18:48:48.349808
2023-11-14 18:48:48.351808;2023-11-14 18:48:48.388076;2023-11-14 18:48:48.426264;2023-11-14 18:48:48.426264;2023-11-14 18:48:48.471094;2023-11-14 18:48:48.507817
2023-11-14 18:48:48.509782;2023-11-14 18:48:48.552464;2023-11-14 18:48:48.590437;2023-11-14 18:48:48.590437;2023-11-14 18:48:48.638789;2023-11-14 18:48:48.678223
2023-11-14 18:48:48.680221;2023-11-14 18:48:48.724808;2023-11-14 18:48:48.766119;2023-11-14 18:48:48.766119;2023-11-14 18:48:48.813957;2023-11-14 18:48:48.965010
2023-11-14 18:48:48.966010;2023-11-14 18:48:49.001811;2023-11-14 18:48:49.038672;2023-11-14 18:48:49.038672;2023-11-14 18:48:49.086486;2023-11-14 18:48:49.243167
2023-11-14 18:48:49.243167;2023-11-14 18:48:49.285611;2023-11-14 18:48:49.323204;2023-11-14 18:48:49.323204;2023-11-14 18:48:49.366654;2023-11-14 18:48:49.404716
2023-11-14 18:48:49.405714;2023-11-14 18:48:49.443354;2023-11-14 18:48:49.482309;2023-11-14 18:48:49.482309;2023-11-14 18:48:49.529430;2023-11-14 18:48:49.566378
2023-11-14 18:48:49.567288;2023-11-14 18:48:49.610367;2023-11-14 18:48:49.648411;2023-11-14 18:48:49.648411;2023-11-14 18:48:49.693869;2023-11-14 18:48:49.856936
2023-11-14 18:48:49.858932;2023-11-14 18:48:49.905684;2023-11-14 18:48:49.950659;2023-11-14 18:48:49.950659;2023-11-14 18:48:49.995924;2023-11-14 18:48:50.033138
2023-11-14 18:48:50.034050;2023-11-14 18:48:50.077933;2023-11-14 18:48:50.117831;2023-11-14 18:48:50.117831;2023-11-14 18:48:50.158534;2023-11-14 18:48:50.322224
