2023-11-12 18:22:43.060717;2023-11-12 18:22:43.099481;2023-11-12 18:22:43.131148;2023-11-12 18:22:43.131148;2023-11-12 18:22:43.168335;2023-11-12 18:22:43.197854
2023-11-12 18:22:43.197854;2023-11-12 18:22:43.233573;2023-11-12 18:22:43.266573;2023-11-12 18:22:43.266573;2023-11-12 18:22:43.301888;2023-11-12 18:22:43.453278
2023-11-12 18:22:43.454276;2023-11-12 18:22:43.491907;2023-11-12 18:22:43.523965;2023-11-12 18:22:43.523965;2023-11-12 18:22:43.568758;2023-11-12 18:22:43.599358
2023-11-12 18:22:43.600357;2023-11-12 18:22:43.631244;2023-11-12 18:22:43.660316;2023-11-12 18:22:43.660316;2023-11-12 18:22:43.699021;2023-11-12 18:22:43.856804
2023-11-12 18:22:43.858802;2023-11-12 18:22:43.893933;2023-11-12 18:22:43.929824;2023-11-12 18:22:43.929824;2023-11-12 18:22:43.974534;2023-11-12 18:22:44.122754
2023-11-12 18:22:44.124752;2023-11-12 18:22:44.165801;2023-11-12 18:22:44.200007;2023-11-12 18:22:44.200007;2023-11-12 18:22:44.237414;2023-11-12 18:22:44.387961
2023-11-12 18:22:44.388971;2023-11-12 18:22:44.430110;2023-11-12 18:22:44.463082;2023-11-12 18:22:44.463082;2023-11-12 18:22:44.499592;2023-11-12 18:22:44.650407
2023-11-12 18:22:44.652404;2023-11-12 18:22:44.689222;2023-11-12 18:22:44.724944;2023-11-12 18:22:44.724944;2023-11-12 18:22:44.765368;2023-11-12 18:22:44.917180
2023-11-12 18:22:44.918179;2023-11-12 18:22:44.953310;2023-11-12 18:22:44.984630;2023-11-12 18:22:44.984630;2023-11-12 18:22:45.020340;2023-11-12 18:22:45.163755
2023-11-12 18:22:45.164754;2023-11-12 18:22:45.204045;2023-11-12 18:22:45.234245;2023-11-12 18:22:45.234245;2023-11-12 18:22:45.272271;2023-11-12 18:22:45.414489
2023-11-12 18:31:25.494934;2023-11-12 18:31:25.538389;2023-11-12 18:31:25.568748;2023-11-12 18:31:25.568748;2023-11-12 18:31:25.604837;2023-11-12 18:31:25.752868
2023-11-12 18:31:25.753865;2023-11-12 18:31:25.791667;2023-11-12 18:31:25.823306;2023-11-12 18:31:25.823306;2023-11-12 18:31:25.859988;2023-11-12 18:31:25.999691
2023-11-12 18:31:26.000938;2023-11-12 18:31:26.037336;2023-11-12 18:31:26.069279;2023-11-12 18:31:26.069279;2023-11-12 18:31:26.102248;2023-11-12 18:31:26.255752
2023-11-12 18:31:26.256753;2023-11-12 18:31:26.290895;2023-11-12 18:31:26.324090;2023-11-12 18:31:26.324090;2023-11-12 18:31:26.363577;2023-11-12 18:31:26.497631
2023-11-12 18:31:26.498632;2023-11-12 18:31:26.650899;2023-11-12 18:31:26.685199;2023-11-12 18:31:26.685199;2023-11-12 18:31:26.723457;2023-11-12 18:31:26.755324
2023-11-12 18:31:26.756327;2023-11-12 18:31:26.786187;2023-11-12 18:31:26.816134;2023-11-12 18:31:26.816134;2023-11-12 18:31:26.851645;2023-11-12 18:31:26.991675
2023-11-12 18:31:26.993677;2023-11-12 18:31:27.032307;2023-11-12 18:31:27.069358;2023-11-12 18:31:27.069358;2023-11-12 18:31:27.108991;2023-11-12 18:31:27.269949
2023-11-12 18:31:27.271948;2023-11-12 18:31:27.309987;2023-11-12 18:31:27.345796;2023-11-12 18:31:27.345796;2023-11-12 18:31:27.386021;2023-11-12 18:31:27.536539
2023-11-12 18:31:27.537538;2023-11-12 18:31:27.574085;2023-11-12 18:31:27.605660;2023-11-12 18:31:27.605660;2023-11-12 18:31:27.639537;2023-11-12 18:31:27.667805
2023-11-12 18:31:27.668780;2023-11-12 18:31:27.698395;2023-11-12 18:31:27.729144;2023-11-12 18:31:27.729144;2023-11-12 18:31:27.766484;2023-11-12 18:31:27.923348
2023-11-12 18:32:08.757546;2023-11-12 18:32:08.797838;2023-11-12 18:32:08.829583;2023-11-12 18:32:08.829583;2023-11-12 18:32:08.866801;2023-11-12 18:32:09.027924
2023-11-12 18:32:09.028922;2023-11-12 18:32:09.061781;2023-11-12 18:32:09.091847;2023-11-12 18:32:09.091847;2023-11-12 18:32:09.129249;2023-11-12 18:32:09.289655
2023-11-12 18:32:09.290655;2023-11-12 18:32:09.326993;2023-11-12 18:32:09.359117;2023-11-12 18:32:09.359117;2023-11-12 18:32:09.398598;2023-11-12 18:32:09.557514
2023-11-12 18:32:09.557514;2023-11-12 18:32:09.596797;2023-11-12 18:32:09.634884;2023-11-12 18:32:09.634884;2023-11-12 18:32:09.671064;2023-11-12 18:32:09.820824
2023-11-12 18:32:09.821821;2023-11-12 18:32:09.860548;2023-11-12 18:32:10.015712;2023-11-12 18:32:10.015712;2023-11-12 18:32:10.060746;2023-11-12 18:32:10.093267
2023-11-12 18:32:10.094265;2023-11-12 18:32:10.124265;2023-11-12 18:32:10.153721;2023-11-12 18:32:10.153721;2023-11-12 18:32:10.189528;2023-11-12 18:32:10.225673
2023-11-12 18:32:10.225673;2023-11-12 18:32:10.257403;2023-11-12 18:32:10.287881;2023-11-12 18:32:10.287881;2023-11-12 18:32:10.326086;2023-11-12 18:32:10.473072
2023-11-12 18:32:10.474072;2023-11-12 18:32:10.510694;2023-11-12 18:32:10.542822;2023-11-12 18:32:10.542822;2023-11-12 18:32:10.581046;2023-11-12 18:32:10.737754
2023-11-12 18:32:10.737754;2023-11-12 18:32:10.775367;2023-11-12 18:32:10.807178;2023-11-12 18:32:10.807178;2023-11-12 18:32:10.841084;2023-11-12 18:32:10.880611
2023-11-12 18:32:10.880611;2023-11-12 18:32:10.913828;2023-11-12 18:32:10.943829;2023-11-12 18:32:10.943829;2023-11-12 18:32:10.980594;2023-11-12 18:32:11.012294
2023-11-12 18:32:11.013290;2023-11-12 18:32:11.044835;2023-11-12 18:32:11.080399;2023-11-12 18:32:11.080399;2023-11-12 18:32:11.117397;2023-11-12 18:32:11.146412
2023-11-12 18:32:11.147390;2023-11-12 18:32:11.176716;2023-11-12 18:32:11.207116;2023-11-12 18:32:11.207116;2023-11-12 18:32:11.243065;2023-11-12 18:32:11.277094
